TotalC2014,GDP_per_Capita2014,Count,StateCodes
2011941,60310,86774,WA
1868867,48893,27356,WI
4121680,40499,207228,FL
535612,66193,3836,WY
310142,52110,7198,NH
2340188,59212,53540,NJ
12899498,56060,141080,TX
640095,76357,5794,ND
2194512,44570,48724,TN
603119,72265,8316,AK
660256,45995,39220,NV
1477177,55130,48102,CO
7620082,59804,604312,CA
139897,45569,7608,VT
2850990,46088,80986,GA
1541900,52973,13868,IA
1679856,48491,20264,OK
410530,40141,12184,ME
1437640,67046,100720,MA
1903839,45040,35782,MO
2881550,43351,56324,MI
1132354,49348,11836,KS
1155549,33247,10590,MS
1632085,37995,22726,SC
1770741,40719,24464,KY
274013,68297,4154,DE
178929,173523,39920,DC
752942,37765,10646,WV
281206,52658,34062,HI
679136,42649,14456,NM
4279443,49921,22402,LA
2554776,45665,54016,NC
864347,57000,14290,NE
3742892,68589,356292,NY
3902434,51981,70582,PA
204459,49439,5792,RI
2430205,53600,33404,VA
1958221,38479,22244,AL
1114409,37977,14542,AR
4042313,56965,60848,IL
2931630,47479,27718,IN
1422590,40602,47532,AZ
519935,37614,9822,ID
750019,66084,23250,CT
1400614,56848,39692,MD
3809648,49157,55688,OH
797995,46262,14646,UT
1912065,56534,39082,MN
403446,42169,8572,MT
987145,45910,62020,OR
391857,51938,4276,SD